Didymochlaena spinulosa (Brause) Li Bing Zhang & H.Shang,Plantae,Streptophyta,Equisetopsida,Polypodiinae,"Polypodiales







View Order Tree
opens in a new tab",Didymochlaenaceae,Didymochlaena,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77211764-1
Archivea kewensis Christenson & Jenny,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asparagales







View Order Tree
opens in a new tab",Orchidaceae,Archivea,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:988904-1
Didymochlaena fijiensis Li Bing Zhang & H.Shang,Plantae,Streptophyta,Equisetopsida,Polypodiinae,"Polypodiales







View Order Tree
opens in a new tab",Didymochlaenaceae,Didymochlaena,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77215565-1
Didymochlaena oceanica Li Bing Zhang & H.Shang,Plantae,Streptophyta,Equisetopsida,Polypodiinae,"Polypodiales







View Order Tree
opens in a new tab",Didymochlaenaceae,Didymochlaena,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77215566-1
Didymochlaena philippensis Li Bing Zhang & H.Shang,Plantae,Streptophyta,Equisetopsida,Polypodiinae,"Polypodiales







View Order Tree
opens in a new tab",Didymochlaenaceae,Didymochlaena,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77215567-1
Euphorbia whitei L.C.Wheeler,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Malpighiales







View Order Tree
opens in a new tab",Euphorbiaceae,Euphorbia,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:102084-2
Didymochlaena truncatula (Sw.) J.Sm.,Plantae,Streptophyta,Equisetopsida,Polypodiinae,"Polypodiales







View Order Tree
opens in a new tab",Didymochlaenaceae,Didymochlaena,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17084790-1
Hypodematium gracile Ching,Plantae,Streptophyta,Equisetopsida,Polypodiinae,"Polypodiales







View Order Tree
opens in a new tab",Hypodematiaceae,Hypodematium,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17549240-1
Clematis zaireensis W.T.Wang,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Ranunculales







View Order Tree
opens in a new tab",Ranunculaceae,"Clematis







View in Tree of Life
opens in a new tab",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77062279-1
Sedum heckelii Raym.-Hamet,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Saxifragales







View Order Tree
opens in a new tab",Crassulaceae,Sedum,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:275497-1
Grindelia inuloides Willd.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Grindelia,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:314751-2
Euphorbia tomentulosa S.Watson,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Malpighiales







View Order Tree
opens in a new tab",Euphorbiaceae,Euphorbia,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:102038-2
Cephalophyllum rigidum L.Bolus,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Caryophyllales







View Order Tree
opens in a new tab",Aizoaceae,Cephalophyllum,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:360861-1
Piper fanshawei Yunck.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Piperales







View Order Tree
opens in a new tab",Piperaceae,Piper,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:681376-1
Vicia orobus DC.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Fabales







View Order Tree
opens in a new tab",Fabaceae,Vicia,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:525007-1
Dalbergia louisii Cronquist,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Fabales







View Order Tree
opens in a new tab",Fabaceae,Dalbergia,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:490304-1
Ziziphus rugosa Lam.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Rosales







View Order Tree
opens in a new tab",Rhamnaceae,Ziziphus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:719414-1
Clematis zaireensis W.T.Wang,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Ranunculales







View Order Tree
opens in a new tab",Ranunculaceae,"Clematis







View in Tree of Life
opens in a new tab",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77062279-1
Althaea villosa Blatt.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Malvales







View Order Tree
opens in a new tab",Malvaceae,Althaea,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:558923-1
Podocoma blanchetiana Baker,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Podocoma,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:238932-1
"Hypodematium shingii Li Bing Zhang, X.P.Fan & X.F.Gao",Plantae,Streptophyta,Equisetopsida,Polypodiinae,"Polypodiales







View Order Tree
opens in a new tab",Hypodematiaceae,Hypodematium,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77215766-1
Hedyotis humilis Merr.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Gentianales







View Order Tree
opens in a new tab",Rubiaceae,"Hedyotis







View in Tree of Life
opens in a new tab",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:752557-1
Magnolia changhungtana Noot.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Magnoliales







View Order Tree
opens in a new tab",Magnoliaceae,Magnolia,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77097493-1
Salvia tigrina Hedge & Hub.-Mor.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Lamiales







View Order Tree
opens in a new tab",Lamiaceae,"Salvia







View in Tree of Life
opens in a new tab",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:457395-1
Campuloclinium macrocephalum (Less.) DC.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Campuloclinium,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:188196-1
Ipomoea adenioides Schinz,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Solanales







View Order Tree
opens in a new tab",Convolvulaceae,Ipomoea,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:268350-1
Domingoa nodosa (Cogn.) Schltr.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asparagales







View Order Tree
opens in a new tab",Orchidaceae,Domingoa,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:83130-2
Oncosiphon sabulosus (Wolley-Dod) Källersjö,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Oncosiphon,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:945194-1
Cattleya bicalhoi Van den Berg,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asparagales







View Order Tree
opens in a new tab",Orchidaceae,Cattleya,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60448067-2
Rytidosperma tenue (Petrie) Connor & Edgar,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Poales







View Order Tree
opens in a new tab",Poaceae,Rytidosperma,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:419835-1
Leucostegia amplissima (Christ) C.W.Chen,Plantae,Streptophyta,Equisetopsida,Polypodiinae,"Polypodiales







View Order Tree
opens in a new tab",Hypodematiaceae,Leucostegia,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77254924-1
Arenaria aegaea Rech.f.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Caryophyllales







View Order Tree
opens in a new tab",Caryophyllaceae,Arenaria,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:150925-1
Hypodematium chrysolepis (Fée) X.P.Fan & Li Bing Zhang,Plantae,Streptophyta,Equisetopsida,Polypodiinae,"Polypodiales







View Order Tree
opens in a new tab",Hypodematiaceae,Hypodematium,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77222364-1
Myoschilos oblongus Ruiz & Pav.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Santalales







View Order Tree
opens in a new tab",Santalaceae,Myoschilos,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:780459-1
Lamyropappus schakaptaricus (O.Fedtsch. & B.Fedtsch.) Knorring & Tamamsch.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Lamyropappus,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:228617-1
"Hypodematium brevipilosum Li Bing Zhang, X.P.Fan & X.F.Gao",Plantae,Streptophyta,Equisetopsida,Polypodiinae,"Polypodiales







View Order Tree
opens in a new tab",Hypodematiaceae,Hypodematium,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77215888-1
"Hypodematium boonkerdii Pongkai, Li Bing Zhang & Pollawatn",Plantae,Streptophyta,Equisetopsida,Polypodiinae,"Polypodiales







View Order Tree
opens in a new tab",Hypodematiaceae,Hypodematium,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77159853-1
Begonia dosedlae Gilli,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Cucurbitales







View Order Tree
opens in a new tab",Begoniaceae,"Begonia







View in Tree of Life
opens in a new tab",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:896366-1
Hypodematium fauriei (Kodama) Tagawa,Plantae,Streptophyta,Equisetopsida,Polypodiinae,"Polypodiales







View Order Tree
opens in a new tab",Hypodematiaceae,Hypodematium,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17399460-1
Pseudosasa nabeshimana (Koidz.) Koidz.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Poales







View Order Tree
opens in a new tab",Poaceae,Pseudosasa,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:418889-1
Primula amoena M.Bieb.,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Ericales







View Order Tree
opens in a new tab",Primulaceae,Primula,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:701544-1
Caputia tomentosa (Haw.) B.Nord. & Pelser,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Asterales







View Order Tree
opens in a new tab",Asteraceae,Caputia,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77123770-1
Saxifraga luizetiana Emb. & Maire,Plantae,Streptophyta,Equisetopsida,Magnoliidae,"Saxifragales







View Order Tree
opens in a new tab",Saxifragaceae,Saxifraga,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:794008-1
